start
721030,44.00,6826.00,6823.00,8187.00,6814.00,131.00,7126.00,8583.00,7845.00,44.73,44.06,43.87,90.47,4.40,4.52,4.54,0.90,6.37
731030,44.20,6786.00,6767.00,8178.00,6797.00,125.00,7136.00,8583.00,7791.00,44.69,44.69,44.71,90.47,4.43,4.41,4.42,0.89,6.35
741032,44.40,6744.00,6686.00,8188.00,6797.00,136.00,7130.00,8495.00,7792.00,45.18,44.58,44.54,90.47,4.33,4.42,4.43,0.90,6.32
751034,44.60,6705.00,6532.00,8173.00,6754.00,86.00,7060.00,8458.00,7676.00,44.41,44.75,44.48,90.75,4.45,4.38,4.44,0.88,6.29
761036,44.80,6756.00,6494.00,8133.00,6726.00,79.00,7009.00,8436.00,7548.00,44.85,45.41,45.59,91.45,4.38,4.27,4.24,0.87,6.24
771037,45.00,6785.00,6584.00,8213.00,6807.00,102.00,7083.00,8498.00,7572.00,45.26,45.69,44.97,91.45,4.32,4.24,4.36,0.87,6.23
781035,45.20,6730.00,6482.00,8182.00,6791.00,159.00,7080.00,8492.00,7534.00,45.51,45.83,45.55,91.53,4.26,4.22,4.27,0.87,6.18
791036,45.40,6662.00,6419.00,8166.00,6763.00,132.00,7077.00,8465.00,7446.00,46.65,45.81,45.59,91.74,4.10,4.22,4.26,0.87,6.17
801040,45.60,6639.00,6261.00,8123.00,6724.00,89.00,7035.00,8403.00,7376.00,46.33,45.71,45.77,91.89,4.13,4.23,4.23,0.86,6.13
811043,45.80,6640.00,6230.00,8126.00,6709.00,52.00,6946.00,8378.00,7217.00,46.37,45.61,45.61,92.32,4.13,4.24,4.24,0.86,6.10
821041,46.00,6731.00,6244.00,8095.00,6747.00,82.00,6981.00,8362.00,7155.00,45.41,46.37,46.23,92.25,4.17,4.12,2.71,0.85,6.08
831042,46.20,6713.00,6276.00,8179.00,6739.00,139.00,7034.00,8355.00,7163.00,46.73,46.73,46.47,92.54,4.05,4.08,4.11,0.84,6.06
841042,46.40,6685.00,6242.00,8134.00,6785.00,114.00,7003.00,8326.00,7082.00,46.33,46.69,47.13,92.69,4.12,4.08,4.01,0.84,6.02
851045,46.60,6652.00,6096.00,8140.00,6767.00,118.00,6963.00,8321.00,7044.00,43.10,46.65,47.13,92.77,3.99,4.09,4.29,0.83,5.98
